N (# of atoms):
1 Cr1 0.100004 0.0430387
1 Cr1 10.1004 0.0629197
1 Cr1 20.1008 0.0789426
1 Cr1 30.1011 0.0919238
1 Cr1 40.1015 0.102665
1 Cr1 50.1019 0.112406
1 Cr1 60.1023 0.12122
1 Cr1 70.1027 0.128859
1 Cr1 80.103 0.136346
1 Cr1 90.1034 0.142986
1 Cr1 100.104 0.149629
1 Cr1 110.104 0.156111
1 Cr1 120.105 0.161578
1 Cr1 130.105 0.167386
1 Cr1 140.105 0.173164
1 Cr1 150.106 0.178883
1 Cr1 160.106 0.182991
1 Cr1 170.106 0.188451
1 Cr1 180.107 0.193177
1 Cr1 190.107 0.19803
1 Cr1 200.108 0.202096
1 Cr1 210.108 0.206995
1 Cr1 220.108 0.210265
1 Cr1 230.109 0.21496
1 Cr1 240.109 0.218521
1 Cr1 250.109 0.222324
1 Cr1 260.11 0.226682
1 Cr1 270.11 0.230751
1 Cr1 280.111 0.2335
1 Cr1 290.111 0.238127
1 Cr1 300.111 0.240749
1 Cr1 310.112 0.244402
1 Cr1 320.112 0.247531
1 Cr1 330.113 0.25089
1 Cr1 340.113 0.254509
1 Cr1 350.113 0.256821
1 Cr1 360.114 0.261845
1 Cr1 370.114 0.263019
1 Cr1 380.114 0.267958
1 Cr1 390.115 0.270117
1 Cr1 400.115 0.273193
1 Cr1 410.116 0.276378
1 Cr1 420.116 0.279336
1 Cr1 430.116 0.281565
1 Cr1 440.117 0.284853
1 Cr1 450.117 0.28808
1 Cr1 460.117 0.291224
1 Cr1 470.118 0.293351
1 Cr1 480.118 0.294993
1 Cr1 490.119 0.29822
T= 490.119 Sum_i(J(m_i, T))
   
2 Cr2 0.100004 0.00015752
2 Cr2 10.1004 0.273949
2 Cr2 20.1008 0.269983
2 Cr2 30.1011 0.271438
2 Cr2 40.1015 0.274906
2 Cr2 50.1019 0.279
2 Cr2 60.1023 0.283933
2 Cr2 70.1027 0.288352
2 Cr2 80.103 0.292992
2 Cr2 90.1034 0.298165
2 Cr2 100.104 0.30243
2 Cr2 110.104 0.30628
2 Cr2 120.105 0.310133
2 Cr2 130.105 0.314253
2 Cr2 140.105 0.318946
2 Cr2 150.106 0.322092
2 Cr2 160.106 0.32646
2 Cr2 170.106 0.32939
2 Cr2 180.107 0.333621
2 Cr2 190.107 0.336302
2 Cr2 200.108 0.33988
2 Cr2 210.108 0.34298
2 Cr2 220.108 0.346515
2 Cr2 230.109 0.350553
2 Cr2 240.109 0.35223
2 Cr2 250.109 0.35571
2 Cr2 260.11 0.358632
2 Cr2 270.11 0.361747
2 Cr2 280.111 0.364198
2 Cr2 290.111 0.368628
2 Cr2 300.111 0.370047
2 Cr2 310.112 0.372751
2 Cr2 320.112 0.375791
