N (# of atoms):
1 Cr1 0.100004 0.043675
1 Cr1 10.1004 0.0675358
1 Cr1 20.1008 0.085622
1 Cr1 30.1011 0.100216
1 Cr1 40.1015 0.112106
1 Cr1 50.1019 0.123109
1 Cr1 60.1023 0.132742
1 Cr1 70.1027 0.141557
1 Cr1 80.103 0.149914
1 Cr1 90.1034 0.157274
1 Cr1 100.104 0.164555
1 Cr1 110.104 0.17155
1 Cr1 120.105 0.177585
1 Cr1 130.105 0.183814
1 Cr1 140.105 0.19064
1 Cr1 150.106 0.196824
1 Cr1 160.106 0.201325
1 Cr1 170.106 0.207415
1 Cr1 180.107 0.212162
1 Cr1 190.107 0.217895
1 Cr1 200.108 0.22217
1 Cr1 210.108 0.227353
1 Cr1 220.108 0.231605
1 Cr1 230.109 0.236241
1 Cr1 240.109 0.239896
1 Cr1 250.109 0.244617
1 Cr1 260.11 0.249585
1 Cr1 270.11 0.253784
1 Cr1 280.111 0.256695
1 Cr1 290.111 0.261388
1 Cr1 300.111 0.264237
1 Cr1 310.112 0.268743
1 Cr1 320.112 0.271914
1 Cr1 330.113 0.27564
1 Cr1 340.113 0.279517
1 Cr1 350.113 0.282116
1 Cr1 360.114 0.287341
1 Cr1 370.114 0.28918
1 Cr1 380.114 0.294038
1 Cr1 390.115 0.29624
1 Cr1 400.115 0.299988
1 Cr1 410.116 0.30329
1 Cr1 420.116 0.306465
1 Cr1 430.116 0.308605
1 Cr1 440.117 0.31176
1 Cr1 450.117 0.31576
1 Cr1 460.117 0.318995
1 Cr1 470.118 0.321518
1 Cr1 480.118 0.323183
1 Cr1 490.119 0.326577
T= 490.119 Sum_i(J(m_i, T))
   
2 Cr2 0.100004 0.0816856
2 Cr2 10.1004 0.219453
2 Cr2 20.1008 0.231668
2 Cr2 30.1011 0.243407
2 Cr2 40.1015 0.253675
2 Cr2 50.1019 0.263403
2 Cr2 60.1023 0.272749
2 Cr2 70.1027 0.28081
2 Cr2 80.103 0.288414
2 Cr2 90.1034 0.295923
2 Cr2 100.104 0.302801
2 Cr2 110.104 0.309031
2 Cr2 120.105 0.314468
2 Cr2 130.105 0.320316
2 Cr2 140.105 0.327173
2 Cr2 150.106 0.332058
2 Cr2 160.106 0.337648
2 Cr2 170.106 0.34208
2 Cr2 180.107 0.347366
2 Cr2 190.107 0.351519
2 Cr2 200.108 0.35668
2 Cr2 210.108 0.360196
2 Cr2 220.108 0.36516
2 Cr2 230.109 0.369666
2 Cr2 240.109 0.372516
2 Cr2 250.109 0.376954
2 Cr2 260.11 0.380765
2 Cr2 270.11 0.384863
2 Cr2 280.111 0.388108
2 Cr2 290.111 0.393015
2 Cr2 300.111 0.39533
2 Cr2 310.112 0.399048
2 Cr2 320.112 0.402632
2 Cr2 330.113 0.404789
2 Cr2 340.113 0.40909
2 Cr2 350.113 0.411842
2 Cr2 360.114 0.415461
2 Cr2 370.114 0.418152
2 Cr2 380.114 0.422215
2 Cr2 390.115 0.424526
2 Cr2 400.115 0.428882
2 Cr2 410.116 0.430096
2 Cr2 420.116 0.433241
2 Cr2 430.116 0.436487
2 Cr2 440.117 0.438744
2 Cr2 450.117 0.441881
2 Cr2 460.117 0.44419
2 Cr2 470.118 0.447765
2 Cr2 480.118 0.451275
2 Cr2 490.119 0.452879
T= 490.119 Sum_i(J(m_i, T))
   
3 Cr3 0.100004 0.799236
3 Cr3 10.1004 0.79564
3 Cr3 20.1008 0.790675
3 Cr3 30.1011 0.786875
3 Cr3 40.1015 0.782228
3 Cr3 50.1019 0.779914
3 Cr3 60.1023 0.776512
3 Cr3 70.1027 0.773649
3 Cr3 80.103 0.770875
3 Cr3 90.1034 0.768209
3 Cr3 100.104 0.764954
3 Cr3 110.104 0.762286
3 Cr3 120.105 0.758838
3 Cr3 130.105 0.756878
3 Cr3 140.105 0.753554
3 Cr3 150.106 0.75079
3 Cr3 160.106 0.748692
3 Cr3 170.106 0.74655
3 Cr3 180.107 0.743653
3 Cr3 190.107 0.741608
3 Cr3 200.108 0.738696
3 Cr3 210.108 0.738226
3 Cr3 220.108 0.734415
3 Cr3 230.109 0.733053
3 Cr3 240.109 0.73003
3 Cr3 250.109 0.730434
3 Cr3 260.11 0.728599
3 Cr3 270.11 0.726034
3 Cr3 280.111 0.725919
3 Cr3 290.111 0.724565
3 Cr3 300.111 0.723601
3 Cr3 310.112 0.723751
3 Cr3 320.112 0.722655
3 Cr3 330.113 0.721115
3 Cr3 340.113 0.721011
3 Cr3 350.113 0.720582
3 Cr3 360.114 0.719008
3 Cr3 370.114 0.71917
3 Cr3 380.114 0.719745
3 Cr3 390.115 0.718014
3 Cr3 400.115 0.716294
3 Cr3 410.116 0.717175
3 Cr3 420.116 0.716979
3 Cr3 430.116 0.717906
3 Cr3 440.117 0.718059
3 Cr3 450.117 0.716004
3 Cr3 460.117 0.716613
3 Cr3 470.118 0.716068
3 Cr3 480.118 0.718119
3 Cr3 490.119 0.718403
T= 490.119 Sum_i(J(m_i, T))
   
4 Cr4 0.100004 1.26102
4 Cr4 10.1004 1.25342
4 Cr4 20.1008 1.24456
4 Cr4 30.1011 1.23691
4 Cr4 40.1015 1.22989
4 Cr4 50.1019 1.22343
4 Cr4 60.1023 1.21699
4 Cr4 70.1027 1.21105
4 Cr4 80.103 1.20579
4 Cr4 90.1034 1.20064
4 Cr4 100.104 1.19512
4 Cr4 110.104 1.1917
4 Cr4 120.105 1.1857
4 Cr4 130.105 1.18211
4 Cr4 140.105 1.17676
4 Cr4 150.106 1.17405
4 Cr4 160.106 1.16984
4 Cr4 170.106 1.16697
4 Cr4 180.107 1.1626
4 Cr4 190.107 1.15901
4 Cr4 200.108 1.15555
4 Cr4 210.108 1.15241
4 Cr4 220.108 1.14904
4 Cr4 230.109 1.14492
4 Cr4 240.109 1.14206
4 Cr4 250.109 1.13879
4 Cr4 260.11 1.1351
4 Cr4 270.11 1.133
4 Cr4 280.111 1.12996
4 Cr4 290.111 1.12738
4 Cr4 300.111 1.12568
4 Cr4 310.112 1.12147
4 Cr4 320.112 1.11784
4 Cr4 330.113 1.11736
4 Cr4 340.113 1.11434
4 Cr4 350.113 1.11203
4 Cr4 360.114 1.10891
4 Cr4 370.114 1.1048
4 Cr4 380.114 1.10362
4 Cr4 390.115 1.09967
4 Cr4 400.115 1.09754
4 Cr4 410.116 1.09783
4 Cr4 420.116 1.09196
4 Cr4 430.116 1.09151
4 Cr4 440.117 1.08814
4 Cr4 450.117 1.08519
4 Cr4 460.117 1.08367
4 Cr4 470.118 1.07943
4 Cr4 480.118 1.0793
4 Cr4 490.119 1.07672
T= 490.119 Sum_i(J(m_i, T))
   
5 Cr5 0.100004 0.000500528
5 Cr5 10.1004 0.232518
5 Cr5 20.1008 0.242385
5 Cr5 30.1011 0.253077
5 Cr5 40.1015 0.264297
5 Cr5 50.1019 0.273899
5 Cr5 60.1023 0.281712
5 Cr5 70.1027 0.289955
5 Cr5 80.103 0.297465
5 Cr5 90.1034 0.30448
5 Cr5 100.104 0.310959
5 Cr5 110.104 0.317315
5 Cr5 120.105 0.32408
5 Cr5 130.105 0.329964
5 Cr5 140.105 0.335012
5 Cr5 150.106 0.340945
5 Cr5 160.106 0.345387
5 Cr5 170.106 0.351557
5 Cr5 180.107 0.355357
5 Cr5 190.107 0.360197
5 Cr5 200.108 0.364967
5 Cr5 210.108 0.369051
5 Cr5 220.108 0.374822
5 Cr5 230.109 0.377714
5 Cr5 240.109 0.38104
5 Cr5 250.109 0.385495
5 Cr5 260.11 0.390263
5 Cr5 270.11 0.392845
5 Cr5 280.111 0.398524
5 Cr5 290.111 0.401537
5 Cr5 300.111 0.404182
5 Cr5 310.112 0.407948
5 Cr5 320.112 0.411809
5 Cr5 330.113 0.415011
5 Cr5 340.113 0.417837
5 Cr5 350.113 0.42069
5 Cr5 360.114 0.423931
5 Cr5 370.114 0.427858
5 Cr5 380.114 0.430505
5 Cr5 390.115 0.433796
5 Cr5 400.115 0.43621
5 Cr5 410.116 0.439771
5 Cr5 420.116 0.443786
5 Cr5 430.116 0.445486
5 Cr5 440.117 0.447949
5 Cr5 450.117 0.45135
5 Cr5 460.117 0.453433
5 Cr5 470.118 0.456306
5 Cr5 480.118 0.459236
5 Cr5 490.119 0.462141
T= 490.119 Sum_i(J(m_i, T))
   
6 Cr6 0.100004 0.122524
