N (# of atoms):
1 Cr1 0.100004 0.0143032
1 Cr1 10.1004 0.0523395
1 Cr1 20.1008 0.0711674
1 Cr1 30.1011 0.0859053
1 Cr1 40.1015 0.0979795
1 Cr1 50.1019 0.108697
1 Cr1 60.1023 0.118617
1 Cr1 70.1027 0.127166
1 Cr1 80.103 0.135501
1 Cr1 90.1034 0.142751
1 Cr1 100.104 0.150122
1 Cr1 110.104 0.157069
1 Cr1 120.105 0.163133
1 Cr1 130.105 0.169422
1 Cr1 140.105 0.175978
1 Cr1 150.106 0.182149
1 Cr1 160.106 0.186683
1 Cr1 170.106 0.192761
1 Cr1 180.107 0.197644
1 Cr1 190.107 0.20306
1 Cr1 200.108 0.207386
1 Cr1 210.108 0.212642
1 Cr1 220.108 0.216502
1 Cr1 230.109 0.221328
1 Cr1 240.109 0.225192
1 Cr1 250.109 0.229489
1 Cr1 260.11 0.234416
1 Cr1 270.11 0.238654
1 Cr1 280.111 0.241659
1 Cr1 290.111 0.246453
1 Cr1 300.111 0.249516
1 Cr1 310.112 0.25365
1 Cr1 320.112 0.256921
1 Cr1 330.113 0.260635
1 Cr1 340.113 0.264574
1 Cr1 350.113 0.266947
1 Cr1 360.114 0.272342
1 Cr1 370.114 0.273876
1 Cr1 380.114 0.279027
1 Cr1 390.115 0.280836
1 Cr1 400.115 0.284973
1 Cr1 410.116 0.287979
1 Cr1 420.116 0.291118
1 Cr1 430.116 0.2935
1 Cr1 440.117 0.296802
1 Cr1 450.117 0.30058
1 Cr1 460.117 0.304068
1 Cr1 470.118 0.306234
1 Cr1 480.118 0.308147
1 Cr1 490.119 0.31154
T= 490.119 Sum_i(J(m_i, T))
   
2 Cr2 0.100004 0.159834
2 Cr2 10.1004 0.156184
2 Cr2 20.1008 0.17413
2 Cr2 30.1011 0.189292
2 Cr2 40.1015 0.201924
2 Cr2 50.1019 0.213549
2 Cr2 60.1023 0.224333
2 Cr2 70.1027 0.23344
2 Cr2 80.103 0.241958
2 Cr2 90.1034 0.250198
2 Cr2 100.104 0.25804
2 Cr2 110.104 0.264965
2 Cr2 120.105 0.270926
2 Cr2 130.105 0.277379
2 Cr2 140.105 0.284636
2 Cr2 150.106 0.289616
2 Cr2 160.106 0.29618
2 Cr2 170.106 0.301068
2 Cr2 180.107 0.307353
2 Cr2 190.107 0.311638
2 Cr2 200.108 0.316705
2 Cr2 210.108 0.321072
2 Cr2 220.108 0.326264
2 Cr2 230.109 0.331569
2 Cr2 240.109 0.334773
2 Cr2 250.109 0.339738
2 Cr2 260.11 0.343155
2 Cr2 270.11 0.347848
2 Cr2 280.111 0.351402
2 Cr2 290.111 0.356325
2 Cr2 300.111 0.359496
2 Cr2 310.112 0.362595
2 Cr2 320.112 0.367373
2 Cr2 330.113 0.369415
2 Cr2 340.113 0.373718
2 Cr2 350.113 0.376946
2 Cr2 360.114 0.380422
2 Cr2 370.114 0.383738
2 Cr2 380.114 0.386996
2 Cr2 390.115 0.390675
2 Cr2 400.115 0.39478
2 Cr2 410.116 0.396593
2 Cr2 420.116 0.400136
2 Cr2 430.116 0.403363
2 Cr2 440.117 0.405847
2 Cr2 450.117 0.409036
2 Cr2 460.117 0.41159
2 Cr2 470.118 0.414986
2 Cr2 480.118 0.418859
2 Cr2 490.119 0.420137
T= 490.119 Sum_i(J(m_i, T))
   
3 Cr3 0.100004 0.685064
3 Cr3 10.1004 0.675192
3 Cr3 20.1008 0.66569
3 Cr3 30.1011 0.658258
3 Cr3 40.1015 0.651545
3 Cr3 50.1019 0.644078
3 Cr3 60.1023 0.637999
3 Cr3 70.1027 0.631878
3 Cr3 80.103 0.626443
3 Cr3 90.1034 0.620071
3 Cr3 100.104 0.615026
3 Cr3 110.104 0.6103
3 Cr3 120.105 0.606296
3 Cr3 130.105 0.60325
3 Cr3 140.105 0.600221
3 Cr3 150.106 0.598232
3 Cr3 160.106 0.595917
3 Cr3 170.106 0.593109
3 Cr3 180.107 0.592187
3 Cr3 190.107 0.591184
3 Cr3 200.108 0.589927
3 Cr3 210.108 0.58891
3 Cr3 220.108 0.587133
3 Cr3 230.109 0.587835
3 Cr3 240.109 0.586309
3 Cr3 250.109 0.588821
3 Cr3 260.11 0.586854
3 Cr3 270.11 0.587558
3 Cr3 280.111 0.588049
3 Cr3 290.111 0.588478
3 Cr3 300.111 0.58938
3 Cr3 310.112 0.589922
3 Cr3 320.112 0.58995
3 Cr3 330.113 0.590276
3 Cr3 340.113 0.590762
3 Cr3 350.113 0.592036
